loinc_code,concept_id,concept_name
25665-1,3015621,Glucose [Moles/volume] in Serum or Plasma --1 hour post XXX challenge
12610-2,3000845,Glucose [Mass/volume] in Serum or Plasma --2 hours post XXX challenge
26507-4,3018199,Neutrophils.band form [#/volume] in Blood
26444-0,3006315,Basophils [#/volume] in Blood
30376-8,3005105,Blasts [#/volume] in Blood
26449-9,3013115,Eosinophils [#/volume] in Blood
26474-7,3019198,Lymphocytes [#/volume] in Blood
30433-7,3024507,Metamyelocytes [#/volume] in Blood
26484-6,3001604,Monocytes [#/volume] in Blood
30446-9,3021120,Myelocytes [#/volume] in Blood
26499-4,3017732,Neutrophils [#/volume] in Blood
30392-5,3001490,Nucleated erythrocytes [#/volume] in Blood
51585-8,3041806,Other cells [#/volume] in Blood by Manual count
26523-1,3022709,Promyelocytes [#/volume] in Blood
14196-0,3023520,Reticulocytes [#/volume] in Blood
7789-1,3019416,Acanthocytes [Presence] in Blood by Light microscopy
21055-9,3036522,Adenovirus DNA [Presence] in Serum or Plasma by Probe and target amplification method
1742-6,3006923,Alanine aminotransferase serum/plasma
1751-7,3024561,Albumin serum/plasma
6768-6,3035995,Alkaline phosphatase serum/plasma
6019-4,3016031,Almond IgE Ab [Units/volume] in Serum
6020-2,3038205,Alternaria alternata IgE Ab [Units/volume] in Serum
16362-6,3011958,Ammonia [Moles/volume] in Plasma
1798-8,3016771,Amylase [Enzymatic activity/volume] in Serum or Plasma
14611-8,3012537,Nuclear Ab pattern [interpretation] in Serum
8061-4,3004616,Nuclear Ab [Presence] in Serum
29953-7,3037522,Nuclear Ab [Titer] in Serum
702-1,3026314,Anisocytosis [Presence] in Blood by Light microscopy
10362-2,3016278,Endomysium IgA Ab [Presence] in Serum
31017-7,3019050,Tissue transglutaminase IgA Ab [Units/volume] in Serum
10333-3,3023410,Appearance of Cerebral spinal fluid
10333-3,3023410,Appearance of Cerebral spinal fluid
1920-8,3013721,Aspartate aminotransferase serum/plasma
6025-1,3011951,Aspergillus fumigatus IgE Ab [Units/volume] in Serum
30416-2,3008266,Lymphocytes Variant/100 leukocytes in Cerebral spinal fluid
735-1,3037234,Lymphocytes Variant/100 leukocytes in Blood by Manual count
30934-4,3011960,Natriuretic peptide B [Mass/volume] in Serum or Plasma
6035-0,3014829,Banana IgE Ab [Units/volume] in Serum
26508-2,3004809,Bands %
26509-0,3007905,Neutrophils.band form/100 leukocytes in Cerebral spinal fluid
6037-6,3007700,Barley IgE Ab [Units/volume] in Serum
20053-5,3007955,Atmospheric pressure
11555-0,3012501,Base excess of blood
703-9,3026904,Basophilic stippling [Presence] in Blood by Light microscopy
30180-4,3022096,Basophils %
30374-3,3020829,Basophils/100 leukocytes in Cerebral spinal fluid
11268-0,3000924,Streptococcus pyogenes [Presence] in Throat by Organism specific culture
1963-8,3016293,Bicarbonate [Moles/volume] in Serum
15152-2,3019676,Bilirubin.conjugated [Mass/volume] in Serum or Plasma
