Category Code,PEDSnet_Table,PEDSnet_Field,Lower_Threshold,Upper_Threshold
CA-011,person,month_of _birth,0,0
CA-011,person,day_of_birth,0,0
CA-011,person,year_of_birth,0,0
CA-011,person,pn_gestational_age,0,45
CA-011,location,zip,0,0
CA-011,provider,year_of_birth,0,0
CA-011,procedure_occurrence,quantity,0,0
CA-011,observation,value_as_number,0,0
CA-011,drug_exposure,refills,0,0
CA-011,drug_exposure,quantity,0,0
CA-011,drug_exposure,days_supply,0,0
CA-011,drug_exposure,effective_drug_dose,0,0
CA-011,drug_exposure,lot_number,0,0
CA-011,drug_exposure,frequency,0,0
CA-011,measurement,value_as_number,0,0
CA-011,measurement,range_low,0,0
CA-011,measurement,range_high,0,0
