Category Code,PEDSnet_Table,PEDSnet_Field,Lower Threshold,Upper Threshold
BA-003,Person,gender_concept_id,0,0
BA-003,Person,race_concept_id,0,0
BA-003,Person,ethnicity_concept_id,0,0
BA-003,Person,language_concept_id,0,0
BA-003,Death,death_type_concept_id,0,0
BA-003,Death,cause_concept_id,0,0
BA-003,Death,death_impute_concept_id,0,0
BA-003,Care_Site,specialty_concept_id,0,0
BA-003,Provider,gender_concept_id,0,0
BA-003,Provider,specialty_concept_id,0,0
BA-003,Visit_Occurrence,visit_concept_id,0,0
BA-003,Visit_Occurrence,visit_type_concept_id,0,0
BA-003,Condition_Occurrence,condition_concept_id,0,0
BA-003,Condition_Occurrence,condition_type_concept_id,0,0
BA-003,Procedure_Occurrence,procedure_concept_id,0,0
BA-003,Procedure_Occurrence,modifier_concept_id,0,0
BA-003,Procedure_Occurrence,procedure_type_concept_id,0,0
BA-003,Observation,observation_type_concept_id,0,0
BA-003,Observation,value_as_concept_id,0,0
BA-003,Observation,qualifier_concept_id,0,0
BA-003,Observation,unit_concept_id,0,0
BA-003,Observation,observation_source_concept_id,0,0
BA-003,Observation,observation_concept_id,,
BA-003,Drug_Exposure,drug_concept_id,0,0
BA-003,Drug_Exposure,drug_type_concept_id,0,0
BA-003,Drug_Exposure,route_concept_id,0,0
BA-003,Drug_Exposure,dose_unit_concept_id,0,0
BA-003,Measurement,measurement_concept_id,0,0
BA-003,Measurement,measurement_type_concept_id,0,0
BA-003,Measurement,operator_concept_id,0,0
BA-003,Measurement,value_as_concept_id,0,0
BA-003,Measurement,unit_concept_id,0,0
BA-003,Measurement,range_low_operator_concept_id,0,0
BA-003,Measurement,range_high_operator_concept_id,0,0
BA-003,Measurement,priority_concept_id,0,0
BA-003,Fact_Relationship,domain_concept_id_1,0,0
BA-003,Fact_Relationship,domain_concept_id_2,0,0
BA-003,Fact_Relationship,relationship_concept_id,0,0
BA-003,Measurement_organism,organism_concept_id,0,0
BA-003,Device_Exposure,device_type_concept_id,0,0
