Category Code,PEDSnet_Table,PEDSnet_Field,Lower Threshold,Upper Threshold
AA-002,Person,gender_concept_id,0,0
AA-002,Person,race_concept_id,0,0
AA-002,Person,ethnicity_concept_id,0,0
AA-002,Person,language_concept_id,0,0
AA-002,Death,death_type_concept_id,0,0
AA-002,Death,death_impute_concept_id,0,0
AA-002,Care_Site,place_of_service_concept_id,0,0
AA-002,Care_Site,specialty_concept_id,0,0
AA-002,Provider,gender_concept_id,0,0
AA-002,Provider,specialty_concept_id,0,0
AA-002,Visit_Occurrence,visit_concept_id,0,0
AA-002,Visit_Occurrence,visit_type_concept_id,0,0
AA-002,Condition_Occurrence,condition_type_concept_id,0,0
AA-002,Condition_Occurrence,condition_status_concept_id,0,0
AA-002,Condition_Occurrence,poa_concept_id,0,0
AA-002,Procedure_Occurrence,modifier_concept_id,0,0
AA-002,Procedure_Occurrence,procedure_type_concept_id,0,0
AA-002,Observation,observation_type_concept_id,0,0
AA-002,Observation,value_as_concept_id,0,0
AA-002,Observation,qualifier_concept_id,0,0
AA-002,Observation,unit_concept_id,0,0
AA-002,Observation,observation_concept_id,0,0
AA-002,Drug_Exposure,drug_type_concept_id,0,0
AA-002,Drug_Exposure,route_concept_id,0,0
AA-002,Drug_Exposure,dose_unit_concept_id,0,0
AA-002,Drug_Exposure,dispense_as_written_concept_id,0,0
AA-002,Measurement,measurement_concept_id,0,0
AA-002,Measurement,measurement_type_concept_id,0,0
AA-002,Measurement,operator_concept_id,0,0
AA-002,Measurement,value_as_concept_id,0,0
AA-002,Measurement,unit_concept_id,0,0
AA-002,Measurement,range_low_operator_concept_id,0,0
AA-002,Measurement,range_high_operator_concept_id,0,0
AA-002,Measurement,priority_concept_id,0,0
AA-002,Measurement,specimen_concept_id,0,0
AA-002,Fact_relationship,relationship_concept_id,0,0
AA-002,Fact_relationship,domain_concept_id_1,0,0
AA-002,Fact_relationship,domain_concept_id_2,0,0
AA-002,Measurement_organism,organism_concept_id,0,0
AA-002,ADT_Occurrence,service_concept_id,0,0
AA-002,ADT_Occurrence,adt_type_concept_id,0,0
AA-002,Device_Exposure,device_concept_id,0,0
AA-002,Device_Exposure,device_type_concept_id,0,0
AA-002,Immunization,imm_route_concept_id,0,0
AA-002,Immunization,imm_dose_unit_concept_id,0,0
AA-002,visit_payer,visit_payer_type_concept_id,0,0
