check_code,check_type,function,framework_term,return_value,alias,number_of_required_tables,number_of_required_variables,automation_status
AA-001,value set violation,identifies values that do not belong to a pre-defined set,value conformance verification,set of value(s),InvalidValue ,1,1,done
AA-002,invalid concept identifier,identifies concept ids that are not in pre-defined set of concept ids,value conformance verification,set of value(s),InvalidConID,1,1,done
AA-003,inconsistency between pk and source value,returns difference between total number of records and total number of source values ,relational conformance verification,Number,InconPK,1,2,done
AA-004,unexpected fact,identifies values that are placed into an inappropriate field ,value conformance verification,text message,UnexFact ,1,1,manual
AA-005,illegal vocabulary,identifies concept ids not in prescribed set of vocabularies,value conformance verification,set of value(s),InvalidVocab,1,1,done
AA-006,inclusion criteria violation,identifies number of patients that do not satisfy pedsnet's inclusion criteria,value conformance verification,number,InconCohort,3,5,done
AA-007,incorrect mapping,identifies source values and concept ids that are incorrectly mapped,value conformance,set of value(s),InvalidMap,1,2,manual
AA-008,illegal concept class,identifies concepts that are not in the correct classes,value conformance,set of value(s),InvalidClass,1,1,
AA-009,date time inconsistency,identifies records with inconsistent date and datetime values,relational conformance verification,number of records,InconDateTime,1,2,done
AA-010,invalid format,validates format of source value,value conformance,,InvalidFormat,1,1,
BA-001,missing data,returns percentage of records having null value in a given field,completeness verification,percentage,MissData,1,1,done
BA-002,no matching concepts,returns the percentage of records with unmapped concept ids,completeness verification,percentage,MissConID,1,1,done
BA-003,missing expected concept,identifies concept expected to be present,completeness verification,text message,MissFact,1,1,done
BA-004,insufficient facts for visits,identifies percent of visits with no facts associated with them,completeness verification,percentage,MissVisitFact,1,2,done
BA-005,insufficient facts for visit types,identifies percent of specific visit types with missing data,completeness verification,percentage,MissVisitTypeFact,2,2,done
CA-001,future event,identifies number of records that occurs after today's date,temporal plausibility verification,number,ImplFutureDate,1,1,done
CA-002,past event,identifies dates that occur impossibly far in the past,temporal plausibility verification,text message,ImplPastDate ,1,1,manual
CA-003,pre-birth fact,"identifies the number of facts that occur before birth, excluding the pre-natal facts",temporal plausibility verification,number,PreBirth,2,2,done
CA-004,post-death fact,identifies the number of facts that occur after death,temporal plausibility verification,number,PostDeath,2,2,done
CA-005,unexpected change in number of records between data cycles,identifies the percentage difference between number of records between two cycles,atemporal plausibility verification,percentage,UnexDiff ,1,n/a,done
CA-006,unexpected change in missingness of a field between data cycles,identifies number of records with missingness outside of expected limits,atemporal plausibility verification,number,UnexMiss,1,1,done
CA-007,entity outliers,"identifies patients, visits, or providers that have an exceptionally high number of facts",atemporal plausibility verification,text message,CatOutlier ,1,1,manual
CA-008,temporal outliers,"identifies specific dates with excessively high number of facts, which are characterized by peaks in the data",temporal plausibility verification,text message,TempOutlier,1,1,done
CA-009,unexpected change in temporal distribution,"identifies sudden shift in distribution of facts, changes occur on a specific date but are sustained over time",temporal plausibility verification,text message,UnexTempDistri,1,1,manual
CA-010,low record count,identifies tables with unexpectedly low number of records,atemporal plausibility verification,text message,UnexLowCnt,1,n/a,
CA-011,implausible numerical values,identifies numerical values out of expected range,atemporal plausibility verification,text message,NumOutlier ,1,1,done
CA-012,unexpected distribution,identifies any implausible distribution of values ,atemporal plausibility verification,text message,ImplDistri ,1,1,manual
CA-013,inconsistency in visit types,identifies discrepancy between visit types between two tables,atemporal plausibility verification,number of records,InconVisitType,2,2,done
CA-014,inconsistent null distribution between source values and concept ids,computes percent difference between NULL source values and  'No Information' (44814650) concept id,atemporal plausibility verification,percentage,InconSource ,1,2,done
CA-015,unexpected change in number of fact types between data cycles,identifies the percentage difference between number of specific fact types between two cycles,atemporal plausibility verification,percentage,UnexDiffFactType,1,2,done
CA-016,start date after end date,identifies records where the start date is greater than end date,temporal plausibility verification,number,ImplEvent ,1,2,done
CB-001,unexpected fact to patient ratio,identifies irregular ratios of facts per patient as compared between sites,atemporal plausibility validation,number,UnexPtRato,1,2,manual
CB-002,unexpected most frequent values,identifies unexpected frequent values based on cross-site comparison,atemporal plausibility validation,set of value(s),UnexTop ,1,1,done
