Category Code,PEDSnet_Table,PEDSnet_Field,Lower_Threshold,Upper_Threshold
BA-001,Person,month_of_birth,0,0
BA-001,Person,day_of_birth,0,0
BA-001,Person,birth_datetime,0,0
BA-001,Person,location_id,0,0
BA-001,Person,provider_id,0,0
BA-001,Person,pn_gestational_age,0,0
BA-001,Person,person_source_value,0,0
BA-001,Death,cause_concept_id,0,0
BA-001,Death,cause_source_value,0,0
BA-001,Death,cause_source_concept_id,0,0
BA-001,Location,state,0,0
BA-001,Location,zip,0,0
BA-001,Location,location_source_value,0,0
BA-001,Care_Site,place_of_service_concept_id,0,0
BA-001,Care_Site,location_id,0,0
BA-001,Care_Site,place_of_service_source_value,0,0
BA-001,Care_Site,specialty_concept_id,0,0
BA-001,Care_Site,specialty_source_value,0,0
BA-001,Provider,gender_concept_id,0,0
BA-001,Provider,specialty_concept_id,0,0
BA-001,Provider,year_of_birth,0,0
BA-001,Provider,specialty_source_value,0,0
BA-001,Provider,specialty_source_concept_id,0,0
BA-001,Provider,gender_source_value,0,0
BA-001,Provider,gender_source_concept_id,0,0
BA-001,Visit_Occurrence,visit_end_date,0,0
BA-001,Visit_Occurrence,visit_end_datetime,0,0
BA-001,Visit_Occurrence,provider_id,0,0
BA-001,Visit_Occurrence,care_site_id,0,0
BA-001,Visit_Occurrence,visit_source_value,0,0
BA-001,Visit_Occurrence,visit_source_concept_id,0,0
BA-001,Visit_Occurrence,admitting_source_value,0,0
BA-001,Visit_Occurrence,admitting_source_concept_id,0,0
BA-001,Visit_Occurrence,discharge_to_source_value,0,0
BA-001,Visit_Occurrence,discharge_to_concept_id,0,0
BA-001,Condition_Occurrence,condition_end_date,0,0
BA-001,Condition_Occurrence,condition_end_datetime,0,0
BA-001,Condition_Occurrence,stop_reason,0,0
BA-001,Condition_Occurrence,provider_id,0,0
BA-001,Condition_Occurrence,visit_occurrence_id,0,0
BA-001,Condition_Occurrence,condition_source_concept_id,0,0
BA-001,Condition_Occurrence,condition_status_concept_id,0,75
BA-001,Condition_Occurrence,condition_status_source_value,0,75
BA-001,Condition_Occurrence,poa_concept_id,0,0
BA-001,Procedure_Occurrence,modifier_concept_id,0,0
BA-001,Procedure_Occurrence,quantity,0,0
BA-001,Procedure_Occurrence,provider_id,0,0
BA-001,Procedure_Occurrence,visit_occurrence_id,0,0
BA-001,Procedure_Occurrence,procedure_source_concept_id,0,0
BA-001,Procedure_Occurrence,modifier_source_value,0,0
BA-001,Observation,observation_datetime,0,0
BA-001,Observation,value_as_number,0,0
BA-001,Observation,value_as_string,0,0
BA-001,Observation,value_as_concept_id,0,0
BA-001,Observation,qualifier_concept_id,0,0
BA-001,Observation,unit_concept_id,0,0
BA-001,Observation,provider_id,0,0
BA-001,Observation,visit_occurrence_id,0,0
BA-001,Observation,observation_source_value,0,0
BA-001,Observation,observation_source_concept_id,0,0
BA-001,Observation,unit_source_value,0,0
BA-001,Observation,qualifier_source_value,0,0
BA-001,Drug_Exposure,drug_exposure_end_date,0,0
BA-001,Drug_Exposure,drug_exposure_order_date,0,0
BA-001,Drug_Exposure,drug_exposure_end_datetime,0,0
BA-001,Drug_Exposure,drug_exposure_order_datetime,0,0
BA-001,Drug_Exposure,stop_reason,0,0
BA-001,Drug_Exposure,refills,0,0
BA-001,Drug_Exposure,quantity,0,0
BA-001,Drug_Exposure,days_supply,0,0
BA-001,Drug_Exposure,sig,0,0
BA-001,Drug_Exposure,route_concept_id,0,0
BA-001,Drug_Exposure,effective_drug_dose,0,0
BA-001,Drug_Exposure,eff_drug_dose_source_value,0,0
BA-001,Drug_Exposure,dose_unit_concept_id,0,0
BA-001,Drug_Exposure,lot_number,0,0
BA-001,Drug_Exposure,provider_id,0,0
BA-001,Drug_Exposure,visit_occurrence_id,0,0
BA-001,Drug_Exposure,drug_source_value,0,0
BA-001,Drug_Exposure,drug_source_concept_id,0,0
BA-001,Drug_Exposure,route_source_value,0,0
BA-001,Drug_Exposure,dose_unit_source_value,0,0
BA-001,Drug_Exposure,frequency,0,0
BA-001,Drug_Exposure,dispense_as_written_concept_id,0,0
BA-001,Measurement,measurement_order_date,0,0
BA-001,Measurement,measurement_order_datetime,0,0
BA-001,Measurement,measurement_result_date,0,0
BA-001,Measurement,measurement_result_datetime,0,0
BA-001,Measurement,operator_concept_id,0,0
BA-001,Measurement,value_as_number,0,0
BA-001,Measurement,value_as_concept_id,0,0
BA-001,Measurement,unit_concept_id,0,0
BA-001,Measurement,range_low,0,0
BA-001,Measurement,range_low_source_value,0,0
BA-001,Measurement,range_low_operator_concept_id,0,0
BA-001,Measurement,range_high,0,0
BA-001,Measurement,range_high_source_value,0,0
BA-001,Measurement,range_high_operator_concept_id,0,0
BA-001,Measurement,provider_id,0,0
BA-001,Measurement,visit_occurrence_id,0,0
BA-001,Measurement,measurement_source_concept_id,0,0
BA-001,Measurement,unit_source_value,0,0
