Category Code,PEDSnet_Table,PEDSnet_Field,Lower_Threshold,Upper_Threshold
CA-006,Person,month_of_birth,-15,15
CA-006,Person,day_of_birth,-15,15
CA-006,Person,time_of_birth,-15,15
CA-006,Person,location_ID,-15,15
CA-006,Person,provider_ID,-15,15
CA-006,Person,pn_gestational_age,-15,15
CA-006,Person,person_source_value,-15,15
CA-006,Death,cause_concept_id,-15,15
CA-006,Death,cause_source_value,-15,15
CA-006,Death,cause_source_concept_id,-15,15
CA-006,Location,state,-15,15
CA-006,Location,zip,-15,15
CA-006,Location,location_source_value,-15,15
CA-006,Care_Site,place_of_service_concept_id,-15,15
CA-006,Care_Site,location_id,-15,15
CA-006,Care_Site,place_of_service_source_value,-15,15
CA-006,Care_Site,specialty_concept_id,-15,15
CA-006,Care_Site,specialty_source_value,-15,15
CA-006,Provider,gender_concept_id,-15,15
CA-006,Provider,specialty_concept_id,-15,15
CA-006,Provider,year_of_birth,-15,15
CA-006,Provider,specialty_source_value,-15,15
CA-006,Provider,specialty_source_concept_id,-15,15
CA-006,Provider,gender_source_value,-15,15
CA-006,Provider,gender_source_concept_id,-15,15
CA-006,Visit_Occurrence,visit_end_date,-15,15
CA-006,Visit_Occurrence,visit_end_datetime,-15,15
CA-006,Visit_Occurrence,provider_id,-15,15
CA-006,Visit_Occurrence,care_site_id,-15,15
CA-006,Visit_Occurrence,visit_source_value,-15,15
CA-006,Visit_Occurrence,visit_source_concept_id,-15,15
CA-006,Visit_Occurrence,admitting_source_value,-15,15
CA-006,Visit_Occurrence,admitting_source_concept_id,-15,15
CA-006,Visit_Occurrence,discharge_to_source_value,-15,15
CA-006,Visit_Occurrence,discharge_to_concept_id,-15,15
CA-006,Condition_Occurrence,condition_end_date,-15,15
CA-006,Condition_Occurrence,condition_end_datetime,-15,15
CA-006,Condition_Occurrence,stop_reason,-15,15
CA-006,Condition_Occurrence,provider_id,-15,15
CA-006,Condition_Occurrence,visit_occurrence_id,-15,15
CA-006,Condition_Occurrence,condition_source_concept_id,-15,15
CA-006,Procedure_Occurrence,modifier_concept_id,-15,15
CA-006,Procedure_Occurrence,quantity,-15,15
CA-006,Procedure_Occurrence,provider_id,-15,15
CA-006,Procedure_Occurrence,visit_occurrence_id,-15,15
CA-006,Procedure_Occurrence,procedure_source_concept_id,-15,15
CA-006,Procedure_Occurrence,modifier_source_value,-15,15
CA-006,Procedure_Occurrence,qualifier_source_value,-15,15
CA-006,Observation,observation_datetime,-15,15
CA-006,Observation,value_as_number,-15,15
CA-006,Observation,value_as_string,-15,15
CA-006,Observation,value_as_concept_id,-15,15
CA-006,Observation,qualifier_concept_id,-15,15
CA-006,Observation,unit_concept_id,-15,15
CA-006,Observation,provider_id,-15,15
CA-006,Observation,visit_occurrence_id,-15,15
CA-006,Observation,observation_source_value,-15,15
CA-006,Observation,observation_source_concept_id,-15,15
CA-006,Observation,unit_source_value,-15,15
CA-006,Observation,qualifier_source_value,-15,15
CA-006,Drug_Exposure,drug_exposure_end_date,-15,15
CA-006,Drug_Exposure,drug_exposure_order_date,-15,15
CA-006,Drug_Exposure,drug_exposure_end_datetime,-15,15
CA-006,Drug_Exposure,drug_exposure_order_datetime,-15,15
CA-006,Drug_Exposure,stop_reason,-15,15
CA-006,Drug_Exposure,refills,-15,15
CA-006,Drug_Exposure,quantity,-15,15
CA-006,Drug_Exposure,days_supply,-15,15
CA-006,Drug_Exposure,sig,-15,15
CA-006,Drug_Exposure,route_concept_id,-15,15
CA-006,Drug_Exposure,effective_drug_dose,-15,15
CA-006,Drug_Exposure,eff_drug_dose_source_value,-15,15
CA-006,Drug_Exposure,dose_unit_concept_id,-15,15
CA-006,Drug_Exposure,lot_number,-15,15
CA-006,Drug_Exposure,provider_id,-15,15
CA-006,Drug_Exposure,visit_occurrence_id,-15,15
CA-006,Drug_Exposure,drug_source_value,-15,15
CA-006,Drug_Exposure,drug_source_concept_id,-15,15
CA-006,Drug_Exposure,route_source_value,-15,15
CA-006,Drug_Exposure,dose_unit_source_value,-15,15
CA-006,Drug_Exposure,frequency,-15,15
CA-006,Measurement,measurement_order_date,-15,15
CA-006,Measurement,measurement_order_datetime,-15,15
CA-006,Measurement,measurement_result_date,-15,15
CA-006,Measurement,measurement_result_datetime,-15,15
CA-006,Measurement,operator_concept_id,-15,15
CA-006,Measurement,value_as_number,-15,15
CA-006,Measurement,value_as_concept_id,-15,15
CA-006,Measurement,unit_concept_id,-15,15
CA-006,Measurement,range_low,-15,15
CA-006,Measurement,range_low_source_value,-15,15
CA-006,Measurement,range_low_operator_concept_id,-15,15
CA-006,Measurement,range_high,-15,15
CA-006,Measurement,range_high_source_value,-15,15
CA-006,Measurement,range_high_operator_concept_id,-15,15
CA-006,Measurement,provider_id,-15,15
CA-006,Measurement,visit_occurrence_id,-15,15
CA-006,Measurement,measurement_source_concept_id,-15,15
CA-006,Measurement,unit_source_value,-15,15
CA-006,Measurement,specimen_source_value,-15,15
CA-006,Measurement,priority_concept_id,-15,15
CA-006,Measurement,priority_source_value,-15,15
CA-006,Visit_Payer,plan_type,-15,15
CA-006,Measurement_Organism,visit_occurrence_id,-15,15
CA-006,Measurement_Organism,positivity_datetime,-15,15
CA-006,ADT_Occurrence,person_id,-15,15
CA-006,ADT_Occurrence,visit_occurrence_id,-15,15
CA-006,ADT_Occurrence,adt_date,-15,15
CA-006,ADT_Occurrence,adt_datetime,-15,15
CA-006,ADT_Occurrence,care_site_id,-15,15
CA-006,ADT_Occurrence,service_concept_id,-15,15
CA-006,ADT_Occurrence,adt_type_concept_id,-15,15
CA-006,ADT_Occurrence,prior_adt_occurrence_id,-15,15
CA-006,ADT_Occurrence,next_adt_occurrence_id,-15,15
CA-006,ADT_Occurrence,service_source_value,-15,15
CA-006,ADT_Occurrence,adt_type_source_value,-15,15
CA-006,Immunization,immunization_source_concept_id,-15,15
CA-006,Immunization,imm_route_source_value,-15,15
CA-006,Immunization,imm_route_concept_id,-15,15
CA-006,Immunization,visit_occurrence_id,-15,15
CA-006,Immunization,person_id,-15,15
CA-006,Immunization,provider_id,-15,15
CA-006,Immunization,immunization_dose,-15,15
CA-006,Immunization,imm_dose_unit_source_value,-15,15
CA-006,Immunization,imm_dose_unit_concept_id,-15,15
CA-006,Immunization,procedure_occurrence_id,-15,15
